item_id	i_artist_c	i_ablum_c	i_tag_c
259	118	125	8
260	118	126	8
261	119	127	2
262	120	128	2
263	121	129	13
264	121	129	13
265	121	130	13
266	121	130	13
267	122	131	3
268	123	132	51
269	124	133	2
270	125	134	2
271	125	134	2
272	126	135	8
273	127	136	2
274	128	137	13
275	129	138	1
276	130	139	57
277	130	139	50
278	130	139	57
279	131	140	13
280	132	141	21
281	132	141	21
282	133	142	2
283	134	143	2
284	135	144	2
285	135	144	2
286	135	144	2
287	135	144	13
288	136	145	1
289	137	146	2
290	138	147	2
291	139	148	1
292	139	148	2
293	139	148	2
294	139	148	48
295	140	149	1
296	140	149	45
297	141	150	45
298	142	151	2
299	143	152	28
300	144	153	7
301	145	154	13
302	146	155	1
303	147	156	7
304	147	156	7
305	147	156	7
306	147	156	7
307	147	156	7
308	147	156	7
309	148	157	13
310	148	157	29
311	148	157	13
312	148	157	13
313	148	157	13
314	148	157	13
315	149	158	32
316	73	159	13
317	150	160	13
318	151	161	58
319	152	162	3
320	153	163	59
321	154	164	13
322	155	165	7
323	155	165	7
324	155	165	7
325	155	165	7
326	155	165	7
327	156	166	48
328	157	167	13
329	157	167	13
330	157	167	13
331	158	168	60
332	83	169	1
333	83	169	1
334	159	170	45
335	159	170	45
336	159	170	45
337	159	170	45
338	159	170	45
339	159	170	45
340	159	170	45
341	159	170	45
342	160	171	2
343	161	172	38
344	161	172	38
345	161	172	38
346	162	173	7
347	163	174	13
348	155	175	7
349	164	176	7
350	165	177	2
351	166	178	13
352	167	179	13
353	168	180	59
354	168	180	2
355	168	180	59
356	169	181	22
357	169	181	49
358	170	182	1
359	171	183	13
360	172	184	13
361	9	185	1
362	9	185	1
363	45	186	13
364	45	186	13
365	45	186	22
366	173	187	1
367	174	188	13
368	175	189	41
369	176	190	2
370	177	191	7
371	177	191	7
372	178	192	2
373	178	192	2
374	178	192	2
375	179	193	2
376	180	194	4
377	181	195	61
378	182	196	2
379	183	197	2
380	184	198	41
381	185	199	8
382	185	200	8
383	186	201	2
384	187	202	2
385	188	203	8
386	189	204	24
387	190	205	3
388	191	206	13
389	192	207	10
390	192	207	10
391	193	208	28
392	194	209	2
393	194	209	1
394	195	210	1
395	196	211	2
396	197	212	21
397	197	212	21
398	198	213	62
399	199	214	3
400	200	215	2
401	201	216	47
402	202	217	14
403	202	217	14
404	203	218	63
405	204	219	2
406	204	219	19
407	205	220	2
408	205	220	64
409	206	221	2
410	207	222	65
411	208	223	43
412	209	224	2
413	209	224	2
414	209	224	2
415	209	224	2
416	209	224	2
417	209	224	2
418	209	224	2
419	209	224	2
420	209	224	2
421	210	225	2
422	211	226	1
423	211	227	1
424	212	228	1
425	213	229	57
426	214	230	2
427	215	231	55
428	216	232	2
429	217	233	21
430	218	234	1
431	218	234	1
432	218	234	1
433	218	234	1
434	219	235	2
435	219	235	2
436	219	235	2
437	219	235	2
438	219	235	2
439	219	235	2
440	219	235	2
441	219	235	2
442	219	235	2
443	219	235	2
444	219	235	2
445	219	235	2
446	219	235	2
447	219	235	2
448	219	235	2
449	219	235	2
450	219	235	2
451	219	235	2
452	219	235	2
453	219	235	2
454	219	235	2
455	219	235	2
456	220	236	66
457	221	237	2
458	222	238	2
459	223	239	1
460	224	240	31
461	225	241	8
462	226	242	20
463	227	243	2
464	228	244	2
465	229	245	21
466	229	245	21
467	229	245	21
468	230	246	67
469	231	247	29
470	231	247	29
471	231	247	29
472	231	247	29
473	231	247	29
474	231	247	29
475	231	247	28
476	231	247	29
477	231	247	29
478	232	248	2
479	233	249	17
480	233	249	2
481	234	250	1
482	234	251	68
483	234	251	1
484	235	252	31
485	235	252	31
486	235	252	27
487	235	252	31
488	236	253	69
489	236	253	44
490	236	253	2
491	236	253	44
492	237	254	70
493	238	255	2
494	239	256	63
495	240	257	2
496	240	257	2
497	241	258	2
498	242	259	2
499	243	260	13
500	243	260	1
501	243	260	29
502	244	261	2
503	244	261	2
504	244	261	2
505	244	261	2
506	244	261	2
507	244	261	2
508	244	261	24
509	245	262	48
510	246	263	71
511	247	264	2
512	248	265	2
513	249	266	2
514	249	266	2
515	249	266	2
516	249	266	2
517	249	266	19
518	250	267	19
519	250	267	2
520	250	267	2
521	251	268	41
522	252	269	2
523	252	269	2
524	253	270	2
525	254	271	63
526	255	272	72
527	115	273	33
528	115	273	2
529	115	273	33
530	256	274	2
531	257	275	2
532	258	276	9
533	259	277	20
534	259	277	33
535	259	277	73
536	260	278	1
537	260	279	1
538	261	280	1
539	262	281	1
540	262	282	1
541	263	283	2
542	56	284	26
543	264	285	2
544	265	286	64
545	266	287	1
546	266	287	1
547	266	287	1
548	267	288	13
549	241	289	2
550	268	290	1
551	269	291	74
552	79	292	1
553	270	293	2
554	93	294	3
555	271	295	10
556	271	295	10
557	271	295	10
558	272	296	2
559	272	296	2
560	273	297	1
561	274	298	7
562	275	299	48
563	276	300	75
564	276	300	2
565	277	301	29
566	278	302	1
567	279	303	45
568	280	304	29
569	281	305	19
570	282	306	2
571	283	307	2
572	283	307	34
573	283	307	1
574	284	308	2
575	285	309	2
576	271	310	10
577	286	311	8
578	287	312	9
579	287	312	9
580	287	312	9
581	287	313	9
582	287	313	9
583	287	313	9
584	287	313	9
585	288	314	13
586	289	315	5
587	290	316	1
588	291	317	8
589	292	318	2
590	293	319	2
591	294	320	2
592	295	321	31
593	296	322	32
594	296	322	32
595	297	323	48
596	298	324	48
597	299	325	1
598	299	325	1
599	299	325	13
600	299	325	13
601	299	325	13
602	299	325	13
603	299	325	1
604	299	325	13
605	299	325	13
606	300	326	2
607	300	326	2
608	300	326	7
609	300	326	2
610	300	327	7
611	301	328	2
612	301	328	3
613	301	328	3
614	302	329	76
615	302	329	76
616	303	330	2
617	304	331	67
618	304	331	67
619	234	332	1
620	304	333	67
621	304	333	67
622	305	334	45
623	305	334	2
624	305	334	2
625	305	334	13
626	305	334	2
627	305	334	45
628	306	335	1
629	306	335	13
630	307	336	77
631	308	337	42
632	309	338	48
633	310	339	1
634	311	340	1
635	312	341	13
636	313	342	78
637	314	343	41
638	315	344	2
639	275	345	2
640	316	346	8
641	91	347	1
642	91	347	13
643	91	347	1
644	317	348	79
645	318	349	32
646	318	349	32
647	319	350	2
648	320	351	39
649	320	351	27
650	320	351	27
651	321	352	2
652	319	353	2
653	319	353	2
654	322	354	80
655	322	354	81
656	322	354	80
657	323	355	2
658	324	356	2
659	325	357	2
660	326	358	82
661	327	359	31
662	327	359	83
663	327	359	31
664	327	359	31
665	328	360	2
666	329	361	2
667	330	362	2
668	331	363	2
669	332	364	36
670	333	365	1
671	334	366	2
672	334	366	2
673	334	366	1
674	334	366	1
675	334	366	2
676	334	366	2
677	334	366	2
678	334	366	2
679	334	366	3
680	334	366	2
681	334	366	2
682	335	367	7
683	336	368	51
684	337	369	38
685	338	370	1
686	339	371	2
687	340	372	7
688	341	373	2
689	341	373	2
690	341	373	2
691	341	373	67
692	341	373	2
693	341	373	67
694	341	373	2
695	341	373	2
696	341	373	2
697	341	373	2
698	341	373	2
699	341	373	67
700	342	374	13
701	343	375	13
702	344	376	1
703	345	377	1
704	341	378	2
705	341	378	67
706	341	378	2
707	341	378	67
708	341	378	2
709	346	379	1
710	347	380	2
711	348	381	45
712	348	381	45
713	348	382	45
714	349	383	2
715	350	384	84
716	351	385	7
717	352	386	2
718	353	387	2
719	353	387	2
720	353	387	2
721	353	387	2
722	353	387	2
723	353	387	2
724	353	387	20
725	353	387	2
726	354	388	32
727	355	389	51
728	356	390	85
729	357	391	2
730	358	392	2
731	359	393	41
732	360	394	13
733	361	395	23
734	361	395	23
735	361	395	23
736	362	396	48
737	363	397	31
738	144	398	17
739	364	399	2
740	365	400	2
741	173	401	1
742	320	402	39
743	320	402	27
744	320	402	39
745	320	402	39
746	320	402	39
747	320	402	39
748	320	402	39
749	320	402	39
750	320	402	39
751	320	402	39
752	366	403	2
753	367	404	7
754	31	405	86
755	31	405	77
756	31	405	86
757	31	405	77
758	31	405	21
759	296	406	32
760	296	406	32
761	144	407	17
762	144	407	17
763	368	408	13
764	369	409	2
765	370	410	39
766	371	411	2
767	372	412	1
768	373	413	2
769	374	414	2
770	375	415	31
771	376	416	19
772	376	416	19
773	376	416	19
774	376	416	19
775	376	416	19
776	376	416	19
777	376	416	19
778	376	416	19
779	376	416	19
780	376	416	19
781	376	416	19
782	376	416	87
783	376	416	19
784	376	416	19
785	376	416	19
786	376	416	19
787	377	417	31
788	378	418	2
789	284	419	13
790	284	419	13
791	379	420	2
792	380	421	2
793	381	422	24
794	382	423	88
795	382	423	44
796	382	423	88
797	382	423	88
798	382	423	44
799	382	423	88
800	382	423	44
801	382	423	88
802	382	423	88
803	383	424	20
804	384	425	2
805	385	426	63
806	385	426	63
807	385	426	63
808	385	426	63
809	385	426	63
810	385	426	63
811	385	426	63
812	385	426	63
813	385	426	2
814	385	426	63
815	21	427	9
816	386	428	2
817	387	429	2
818	388	430	2
819	389	431	21
820	389	431	89
821	389	431	21
822	390	432	1
823	391	433	2
824	391	433	2
825	391	433	2
826	391	433	2
827	391	433	2
828	391	433	2
829	391	433	2
830	391	433	2
831	391	433	2
832	391	433	2
833	391	433	2
834	391	433	2
835	392	434	1
836	392	434	2
837	393	435	8
838	393	436	2
839	393	436	2
840	394	437	26
841	395	438	2
842	395	439	2
843	396	440	2
844	397	441	2
845	397	441	29
846	397	441	29
847	397	441	35
848	397	441	2
849	397	441	2
850	397	441	2
851	397	441	90
852	397	441	29
853	397	441	2
854	397	441	2
855	397	441	29
856	398	442	7
857	398	442	2
858	398	442	2
859	398	442	2
860	398	442	2
861	398	442	7
862	398	442	2
863	398	442	2
864	399	443	3
865	399	443	3
866	399	443	3
867	399	443	3
868	399	443	3
869	399	443	3
870	399	443	3
871	399	443	3
872	399	443	3
873	400	444	2
874	400	444	2
875	400	444	2
876	389	445	89
877	401	446	91
878	402	447	14
879	114	448	33
880	403	449	2
881	404	450	2
882	405	451	2
883	406	452	75
884	214	453	2
885	407	454	35
886	408	455	42
887	409	456	2
888	410	457	92
889	411	458	2
890	411	458	2
891	412	459	2
892	412	459	2
893	412	459	2
894	412	459	2
895	412	459	2
896	413	460	2
897	264	461	2
898	414	462	31
899	415	463	2
900	415	463	2
901	416	464	38
902	417	465	57
903	418	466	33
904	418	466	33
905	418	466	33
906	419	467	2
907	419	467	2
908	419	467	2
909	420	468	2
910	421	469	2
911	422	470	21
912	360	471	93
913	423	472	63
914	423	473	63
915	424	474	2
916	425	475	38
917	426	476	89
918	426	476	89
919	426	476	89
920	426	476	89
921	426	476	89
922	426	476	89
923	426	476	89
924	427	477	94
925	428	478	77
926	429	479	95
927	430	480	2
928	431	481	41
929	432	482	32
930	355	483	2
931	355	483	2
932	355	483	13
933	433	484	2
934	434	485	51
935	435	486	2
936	436	487	7
937	437	488	42
938	438	489	2
939	438	489	2
940	438	489	2
941	439	490	2
942	440	491	2
943	441	492	77
944	442	493	20
945	442	493	85
946	442	493	85
947	442	493	20
948	442	493	2
949	443	494	2
950	444	495	96
951	445	496	2
952	446	497	2
953	447	498	2
954	448	499	2
955	449	500	4
956	449	501	4
957	450	502	31
958	450	502	31
959	450	502	31
960	450	502	31
961	450	502	31
962	450	502	31
963	450	502	31
964	450	502	31
965	450	502	31
966	450	502	31
967	450	502	31
968	450	503	31
969	450	503	31
970	450	503	31
971	450	503	31
972	450	503	31
973	451	504	97
974	452	505	17
975	452	505	17
976	453	506	2
977	453	506	13
978	453	506	2
979	453	506	51
980	453	506	2
981	453	506	98
982	453	506	51
983	454	507	13
984	269	508	1
985	455	509	2
986	456	510	41
987	457	511	99
988	458	512	8
989	458	512	8
990	459	513	2
991	460	514	13
992	461	515	31
993	462	516	3
994	462	516	3
995	462	516	3
996	462	516	3
997	462	516	3
998	462	516	3
999	462	516	3
1000	462	516	3
1001	462	516	3
1002	452	517	17
1003	452	517	17
1004	452	517	17
1005	452	517	17
1006	452	517	17
1007	452	517	17
1008	452	517	17
1009	463	518	14
1010	463	519	14
1011	464	520	2
1012	465	521	2
1013	466	522	71
1014	466	522	71
1015	467	523	43
1016	208	524	2
1017	468	525	42
1018	469	526	23
1019	469	527	23
1020	469	527	23
1021	470	528	61
1022	470	528	3
1023	471	529	17
1024	471	529	11
1025	471	529	17
1026	472	530	21
1027	472	530	30
1028	472	530	100
1029	472	530	16
1030	472	530	30
1031	472	530	21
1032	473	531	51
1033	474	532	31
1034	474	532	31
1035	474	532	31
1036	475	533	2
1037	476	534	4
1038	477	535	2
1039	478	536	38
1040	479	537	13
1041	480	538	38
1042	480	538	7
1043	481	539	2
1044	482	540	41
1045	482	540	19
1046	482	540	2
1047	483	541	2
1048	484	542	2
1049	485	543	2
1050	486	544	56
1051	487	545	31
1052	448	546	2
1053	488	547	41
1054	489	548	101
1055	489	548	101
1056	489	548	2
1057	490	549	2
1058	491	550	2
1059	492	551	51
1060	493	552	2
1061	494	553	28
1062	495	554	2
1063	495	554	2
1064	496	555	76
1065	497	556	2
1066	94	557	8
1067	94	557	2
1068	94	557	1
1069	94	557	2
1070	94	557	1
1071	94	557	1
1072	94	557	2
1073	94	557	1
1074	94	557	8
1075	94	557	2
1076	94	557	2
1077	94	557	1
1078	94	557	1
1079	94	557	13
1080	94	557	51
1081	94	557	8
1082	94	557	1
1083	498	558	2
1084	499	559	2
1085	500	560	17
1086	500	560	17
1087	500	560	17
1088	500	560	17
1089	500	560	17
1090	500	560	21
1091	500	560	17
1092	501	561	31
1093	501	561	13
1094	501	561	31
1095	501	561	31
1096	501	561	31
1097	501	561	13
1098	501	561	31
1099	502	562	2
1100	502	562	2
1101	502	562	2
1102	417	563	57
1103	417	563	57
1104	417	563	57
1105	417	563	57
1106	417	563	57
1107	417	563	57
1108	417	563	57
1109	417	563	50
1110	417	563	57
1111	417	563	57
1112	417	563	57
1113	31	564	89
1114	31	564	89
1115	31	564	21
1116	31	564	77
1117	31	564	89
1118	31	565	21
1119	503	566	19
1120	504	567	1
1121	505	568	101
1122	448	569	34
1123	421	570	41
1124	421	570	41
1125	421	570	41
1126	421	570	41
1127	421	571	41
1128	421	571	41
1129	506	572	2
1130	507	573	51
1131	508	574	13
1132	508	574	2
1133	351	575	7
1134	509	576	79
1135	509	576	79
1136	509	576	79
1137	509	576	79
1138	509	576	79
1139	509	576	79
1140	510	577	2
1141	511	578	1
1142	512	579	2
1143	512	579	75
1144	513	580	36
1145	513	580	36
1146	513	580	36
1147	514	581	8
1148	143	582	28
1149	143	582	28
1150	143	582	28
1151	143	582	28
1152	143	582	28
1153	143	582	28
1154	143	582	28
1155	143	582	28
1156	143	582	28
1157	42	583	4
1158	515	584	41
1159	516	585	1
1160	516	585	64
1161	516	585	2
1162	516	585	1
1163	516	585	64
1164	516	585	1
1165	516	585	1
1166	516	585	40
1167	516	585	1
1168	517	586	2
1169	518	587	2
1170	519	588	32
1171	519	588	5
1172	519	588	39
1173	519	588	1
1174	519	588	98
1175	519	588	1
1176	519	588	39
1177	519	588	88
1178	519	588	5
1179	519	588	78
1180	519	588	32
1181	519	588	1
1182	519	588	5
1183	520	589	1
1184	521	590	2
1185	522	591	2
1186	523	592	75
1187	92	593	7
1188	92	593	7
1189	92	593	7
1190	92	593	13
1191	92	594	7
1192	524	595	13
1193	525	596	2
1194	526	597	1
1195	527	598	2
1196	528	599	7
1197	284	600	13
1198	284	600	13
1199	284	600	13
1200	284	600	13
1201	284	600	13
1202	529	601	3
1203	530	602	2
1204	531	603	2
1205	532	604	2
1206	533	605	23
1207	533	605	23
1208	533	606	23
1209	533	606	23
1210	533	606	23
1211	533	606	23
1212	533	606	23
1213	533	606	23
1214	534	607	57
1215	534	607	57
1216	534	607	57
1217	535	608	2
1218	536	609	9
1219	135	610	2
1220	537	611	2
1221	538	612	28
1222	539	613	2
1223	540	614	42
1224	541	615	24
1225	542	616	2
1226	543	617	13
1227	544	618	40
1228	545	619	3
1229	546	620	13
1230	546	620	13
1231	546	620	13
1232	546	620	13
1233	546	620	13
1234	546	620	13
1235	546	620	13
1236	546	620	13
1237	546	620	13
1238	546	620	13
1239	547	621	8
1240	548	622	40
1241	549	623	17
1242	550	624	31
1243	550	624	2
1244	290	625	1
1245	551	626	1
1246	551	626	8
1247	551	626	19
1248	551	626	8
1249	551	626	1
1250	551	626	2
1251	551	626	2
1252	551	626	19
1253	551	626	8
1254	551	626	2
1255	551	626	2
1256	551	626	102
1257	552	627	33
1258	552	627	33
1259	552	627	33
1260	552	627	33
1261	552	627	33
1262	552	627	33
1263	18	628	7
1264	553	629	103
1265	155	630	7
1266	155	631	2
1267	155	631	104
1268	155	632	104
1269	554	633	2
1270	554	633	2
1271	555	634	8
1272	556	635	2
1273	14	636	70
1274	557	637	1
1275	558	638	7
1276	558	639	2
1277	558	639	2
1278	558	639	2
1279	559	640	2
1280	559	640	13
1281	559	640	60
1282	560	641	2
1283	561	642	105
1284	562	643	2
1285	563	644	48
1286	564	645	11
1287	564	645	106
1288	564	645	106
1289	564	645	106
1290	564	645	106
1291	564	645	106
1292	565	646	56
1293	565	646	1
1294	565	646	3
1295	565	646	56
1296	565	646	1
1297	565	646	1
1298	565	646	56
1299	565	646	28
1300	565	646	56
1301	565	646	56
1302	565	646	1
1303	566	647	2
1304	566	647	71
1305	566	647	71
1306	566	647	71
1307	566	647	71
1308	566	647	107
1309	566	647	2
1310	567	648	60
1311	567	648	60
1312	567	648	60
1313	396	649	49
1314	396	649	49
1315	568	650	8
1316	569	651	2
1317	570	652	48
1318	568	653	8
1319	181	654	2
1320	181	654	2
1321	181	654	61
1322	181	654	2
1323	181	654	2
1324	181	654	2
1325	181	654	2
1326	181	654	2
1327	181	654	2
1328	181	654	2
1329	181	654	2
1330	181	654	61
1331	181	654	2
1332	571	655	2
1333	572	656	7
1334	572	656	7
1335	572	656	7
1336	572	656	7
1337	572	657	17
1338	572	658	2
1339	453	659	31
1340	453	659	13
1341	453	659	1
1342	453	659	31
1343	453	659	13
1344	453	659	31
1345	573	660	1
1346	574	661	38
1347	575	662	1
1348	576	663	1
1349	577	664	2
1350	577	664	2
1351	577	664	13
1352	577	664	29
1353	577	664	13
1354	577	664	13
1355	577	664	2
1356	577	664	13
1357	577	664	2
1358	577	664	2
1359	578	665	2
1360	579	666	34
1361	314	667	1
1362	580	668	48
1363	581	669	77
1364	581	669	38
1365	581	669	8
1366	582	670	2
1367	583	671	38
1368	583	671	38
1369	584	672	2
1370	585	673	60
1371	586	674	1
1372	587	675	34
1373	588	676	108
1374	588	676	66
1375	588	676	2
1376	588	676	108
1377	588	676	51
1378	588	676	2
1379	588	676	51
1380	588	676	1
1381	588	676	1
1382	588	676	2
1383	588	676	108
1384	589	677	2
1385	316	678	19
1386	590	679	28
1387	590	679	77
1388	591	680	13
1389	591	680	13
1390	592	681	13
1391	593	682	29
1392	593	682	29
1393	594	683	13
1394	595	684	3
1395	596	685	2
1396	596	685	2
1397	597	686	109
1398	597	686	31
1399	597	686	41
1400	597	686	41
1401	597	686	41
1402	597	686	41
1403	597	686	31
1404	597	687	41
1405	597	688	41
1406	597	688	41
1407	597	689	41
1408	598	690	2
1409	599	691	31
1410	600	692	2
1411	601	693	46
1412	602	694	85
1413	602	694	85
1414	602	694	85
1415	602	694	85
1416	602	694	85
1417	603	695	2
1418	604	696	41
1419	605	697	13
1420	605	697	29
1421	605	697	13
1422	604	698	41
1423	604	698	2
1424	513	699	70
1425	513	699	70
1426	513	699	70
1427	513	699	110
1428	606	700	13
1429	606	700	13
1430	217	701	2
1431	607	702	31
1432	607	702	13
1433	302	703	21
1434	302	703	2
1435	302	703	76
1436	302	703	76
1437	302	703	21
1438	302	703	2
1439	302	703	2
1440	302	703	2
1441	302	703	2
1442	608	704	9
1443	608	704	9
1444	608	704	9
1445	609	705	2
1446	101	706	111
1447	101	706	1
1448	101	706	4
1449	101	706	2
1450	101	706	40
1451	101	706	8
1452	101	706	42
1453	101	706	2
1454	610	707	31
1455	610	707	31
1456	610	707	31
1457	610	707	31
1458	610	707	31
1459	610	707	31
1460	100	708	31
1461	611	709	7
1462	612	710	56
1463	612	710	2
1464	612	710	2
1465	613	711	2
1466	614	712	2
1467	615	713	106
1468	360	714	13
1469	360	714	13
1470	360	714	7
1471	360	715	2
1472	360	715	66
1473	360	715	2
1474	360	715	2
1475	360	715	2
1476	360	715	2
1477	360	715	2
1478	616	716	2
1479	616	716	29
1480	617	717	1
1481	617	717	1
1482	617	717	1
1483	617	717	45
1484	618	718	1
1485	619	719	13
1486	620	720	2
1487	621	721	10
1488	621	721	42
1489	621	721	27
1490	621	721	27
1491	621	721	34
1492	621	721	39
1493	621	721	27
1494	621	721	27
1495	621	721	10
1496	621	721	27
1497	621	721	27
1498	621	721	27
1499	621	721	39
1500	621	721	27
1501	621	721	42
1502	621	721	27
1503	621	721	42
1504	621	721	42
1505	621	721	42
1506	621	721	64
1507	622	722	2
1508	170	723	1
1509	170	724	1
1510	623	725	2
1511	323	726	2
1512	624	727	2
1513	625	728	2
1514	626	729	32
1515	627	730	2
1516	628	731	24
1517	629	732	24
1518	630	733	42
1519	631	734	112
1520	632	735	44
1521	632	735	44
1522	632	735	44
1523	633	736	22
1524	633	736	22
1525	633	736	22
1526	633	736	13
1527	633	736	22
1528	633	736	22
1529	633	736	22
1530	633	736	22
1531	633	736	22
1532	633	736	22
1533	633	736	22
1534	633	736	22
1535	633	737	22
1536	633	737	22
1537	633	737	22
1538	633	737	13
1539	633	737	13
1540	633	737	13
1541	633	737	22
1542	633	737	22
1543	633	737	22
1544	633	737	22
1545	633	737	22
1546	633	737	22
1547	633	737	22
1548	633	737	22
1549	634	738	99
1550	634	738	113
1551	634	738	99
1552	634	738	99
1553	634	738	99
1554	634	738	99
1555	634	738	113
1556	396	739	21
1557	635	740	42
1558	635	740	42
1559	635	740	42
1560	635	740	42
1561	636	741	2
1562	637	742	2
1563	638	743	2
1564	639	744	10
1565	640	745	36
1566	641	746	2
1567	642	747	80
1568	643	748	2
1569	644	749	110
1570	644	749	2
1571	645	750	2
1572	645	750	114
1573	645	750	2
1574	438	751	2
1575	646	752	51
1576	646	752	31
1577	646	752	51
1578	646	752	2
1579	646	752	2
1580	646	752	29
1581	646	752	2
1582	646	752	2
1583	646	752	2
1584	646	752	2
1585	646	752	2
1586	191	753	51
1587	191	753	2
1588	191	753	2
1589	191	753	2
1590	191	753	29
1591	191	753	29
1592	191	753	2
1593	191	753	2
1594	191	753	2
1595	191	753	2
1596	191	753	2
1597	647	754	27
1598	648	755	2
1599	648	755	2
1600	648	755	31
1601	649	756	98
1602	650	757	2
1603	651	758	2
1604	652	759	49
1605	652	759	49
1606	652	759	49
1607	652	759	49
1608	652	759	13
1609	652	759	49
1610	652	759	49
1611	652	759	49
1612	652	759	49
1613	652	759	49
1614	652	759	49
1615	652	759	21
1616	653	760	13
1617	653	760	13
1618	654	761	45
1619	653	762	17
1620	655	763	2
1621	656	764	2
1622	657	765	2
1623	658	766	74
1624	659	767	33
1625	660	768	11
1626	661	769	36
1627	662	770	50
1628	663	771	1
1629	664	772	40
1630	450	773	2
1631	450	773	2
1632	450	773	2
1633	450	773	2
1634	450	773	2
1635	450	773	2
1636	450	773	2
1637	450	773	2
1638	450	773	2
1639	450	773	2
1640	450	773	13
1641	450	773	2
1642	450	773	2
1643	450	773	2
1644	450	773	2
1645	450	773	13
1646	665	774	2
1647	666	775	115
1648	666	775	48
1649	667	776	13
1650	219	777	1
1651	219	777	1
1652	219	777	1
1653	219	778	1
1654	668	779	31
1655	669	780	60
1656	669	780	13
1657	669	780	60
1658	670	781	2
1659	670	781	2
1660	670	781	31
